AnnualIncome,HouseholdSize,YrsEdAfterHS,HrWkTV,AnnualCharges
63.8,7,4,42,8445.67
46.4,7,4,20,6523.48
36.5,2,1,1,15610.54
74.9,8,5,15,7159.41
80.1,5,4,35,8062.19
111.1,2,3,17,8918.14
70.6,5,5,23,6842.6
42.9,2,1,45,4130.92
102.5,2,4,52,14561.36
46.3,1,1,57,1898.68
50.5,4,0,49,10031.33
31.4,5,4,4,1466.52
64.7,5,4,59,18957.15
38.4,1,3,1,11952.3
100,6,5,57,13275.47
44.3,5,2,40,3159.05
47.8,2,1,40,3108.39
15,8,1,27,5896.83
83.5,6,4,18,11006.5
75.4,1,4,2,4114.64
95.3,1,5,18,9219.38
104.9,6,3,46,9390.09
92.2,2,5,5,17582.56
54,6,2,50,8298.79
87.7,6,0,53,13740.12
34.6,4,4,51,4587.33
41.2,8,2,54,12782.06
60,6,2,52,5265.26
102.8,6,5,47,12695.32
41.3,2,4,47,3685.09
45.8,3,0,48,7987.56
45.1,2,4,58,10351.97
91.2,3,4,26,14772.21
81.8,6,4,35,7552.79
38.1,1,2,8,2837.82
62.4,6,1,48,15984.06
36.1,5,3,31,5810.08
43.8,7,3,40,10477.87
67.2,4,4,55,1449.12
47.6,6,5,26,2138.12
50.1,2,0,51,7246.56
116.9,4,1,39,17852.38
74.4,5,4,28,11984.69
109.1,2,4,48,22902.99
108.1,7,0,49,15147.56
94.5,7,2,39,17303.67
65,3,4,47,10775.43
70.1,5,1,7,13999.94
99.5,4,2,16,16441.8
46.4,3,2,18,10458.18
53.6,2,4,18,0
93.5,7,1,6,14866
112.5,5,4,48,9852.74
96.5,5,2,35,12869.99
98.8,1,5,51,21545.43
45.6,4,4,24,15874.78
104.5,2,4,28,17017.23
33.2,4,3,9,14199.55
36.8,3,2,60,16850.21
32,6,5,14,6409.73
87.2,5,2,2,20039.64
63.5,5,2,13,10378.6
60.2,7,2,59,9049.08
76.6,4,1,12,21751.39
20.8,8,1,22,3786.93
92.1,1,3,9,20751.65
73.6,7,3,50,13126.68
28.4,4,4,28,6059.91
78.7,5,3,25,3038.61
35.7,7,2,9,3586.19
87.8,4,3,8,19213.97
106.3,3,1,7,13159
77.3,7,2,29,21333.97
39.9,7,5,52,11322.26
93.6,4,4,30,18605.23
75.6,5,5,31,20828.19
105.3,4,4,42,25468.19
104.2,3,4,10,8418.4
87.4,7,4,7,14377.26
54.8,3,5,1,3749.18
89.5,3,2,41,17821.7
71.5,8,3,19,12559.63
107.1,7,2,31,9712.59
60,6,1,10,13417.85
37.9,6,5,6,10080.91
59.7,1,3,53,10307.28
84.2,7,2,38,14615.08
104.2,3,4,29,16331.89
54.3,2,3,3,14177.98
116.4,5,3,37,12492.85
54.9,4,2,13,12645.27
41.5,6,4,36,2545.67
88,3,4,30,19509.03
67.7,1,1,54,2096.73
22.8,5,5,15,23.1
61.1,6,5,9,15226.25
85.9,6,1,48,20111.46
80.5,2,5,56,17143.84
42.8,7,4,56,9019.3
53,5,4,37,0
67.8,7,5,12,3209.55
46.6,6,4,36,16427.44
28.6,5,3,17,9572.55
85.4,6,4,44,21243.01
63.8,8,1,23,3647.57
84.5,3,3,24,10106.48
53.4,6,3,31,8276.08
14.3,5,4,28,10470.26
85.7,3,1,31,5195.41
51.7,1,1,51,19162.88
47.5,4,4,30,9745.56
97.2,1,0,3,15931.08
48.4,4,4,33,3608.63
92.7,5,1,4,12179.21
57.3,5,2,28,13879.86
74.7,8,4,57,11667.77
96,1,4,54,18638.39
55,5,1,51,7770.6
131.7,4,3,45,10480.1
42,7,4,11,12517.22
25.2,4,0,38,3294.61
47.3,5,3,48,8512.13
51.9,8,1,0,10077.88
41.1,3,3,14,14607.59
26.9,6,0,20,13950.22
116.8,3,5,54,14710.89
66.2,4,1,9,11009.99
127.1,3,2,56,16458.76
42.9,6,5,41,10465.25
40.3,4,2,16,8467.7
105.5,3,2,29,11246.39
44.2,6,4,15,4548.68
83.5,1,2,29,5286.72
45.8,2,2,54,6370.01
100.4,7,3,43,19420.61
106,8,2,19,10023.04
62.3,5,0,48,16312.73
114.3,6,4,20,11728.36
63.9,7,2,11,7902.31
62.7,3,4,35,959.4
84.3,2,2,55,17532.93
48.2,4,5,1,2447.66
72.5,2,1,53,10944.07
38.9,5,0,10,5682.48
52.2,6,4,17,14720.85
42.9,3,4,18,0
104.5,3,1,51,11097.58
85.5,6,1,17,8432.96
98.2,7,2,23,21461.54
64.5,2,4,41,12495.97
107.8,2,5,46,9660.99
85.7,1,5,13,13170.5
73.8,8,1,54,17312.14
90,6,0,10,7071.19
75.5,4,2,9,7871.23
51.4,3,4,13,0
107.7,7,0,32,21063.87
18.3,4,3,56,7235.48
59.4,2,4,14,2841.75
30.4,2,0,20,8150.77
54.4,4,3,22,9389.66
103.2,5,1,1,19314.46
34.1,3,4,23,9266.9
88.8,4,5,10,16049.29
53.5,5,4,21,7904.72
22.4,5,2,60,9634.75
71,7,1,9,12869.17
55.3,5,3,36,9695.93
68.5,7,2,28,5743.41
99.7,5,4,49,19915.78
48.9,7,1,25,10286.89
107.3,6,0,37,11459.39
42.1,7,3,19,9246.9
42,2,4,57,9045.17
81.6,8,4,59,8635.08
64,2,2,25,10412.03
45.9,7,2,43,468.32
79.6,8,3,3,6250.55
100.2,1,4,20,4777.17
105.9,6,2,59,22772.14
69.3,4,2,3,16780.41
68.5,5,3,56,13601.86
51.1,6,1,51,9923.97
55.8,7,1,29,18210.29
66.2,6,4,52,12548.55
103.1,7,3,53,20213.7
55.3,4,2,12,10134.63
85,2,1,5,19416.64
53.7,6,0,40,10779.92
90.1,3,2,52,21695.38
29.2,6,2,53,5533.06
92.3,3,1,8,10744.37
72.1,4,1,14,7489.58
73.8,7,5,41,19114.42
48.4,4,4,38,10186.41
45,5,1,52,15178.7
77.2,3,1,58,12103.74
55.2,5,3,14,1274.78
117.2,7,3,36,22607.92
46.6,7,3,56,12877.06
8,8,4,43,4802.64
108,4,1,29,16926.89
56.1,7,2,28,16115.73
95.3,5,4,36,13316.42
53.2,2,1,18,9158.98
38.9,8,2,2,11545.79
78.4,7,2,22,7568.74
41,3,4,25,8876.56
99.9,5,3,40,12620.73
90,5,5,10,15932.13
79.3,3,1,40,12658.27
24.6,4,2,51,440.12
75.1,2,0,22,8863.13
61.6,7,4,0,15899.66
92.2,6,0,12,10805.34
120.7,5,3,42,14809.26
48.7,3,1,51,12375.34
97.4,7,1,7,20067.05
44.5,8,3,34,9940.75
94.6,6,1,7,15457.89
9.9,3,3,41,8384.74
79.3,7,3,38,15201.42
98.1,6,2,9,12913.04
51.9,7,2,45,15426.14
89.2,8,1,57,13646.98
70.2,3,1,39,6733.53
27.5,3,4,8,7194.18
106.7,1,2,51,12133.97
98.4,5,1,25,9052.29
104.1,3,4,52,18953.64
45.2,2,2,12,10188
82.7,4,3,41,15854.1
46.8,7,4,54,10922.91
27,7,2,42,5612.69
83.1,7,0,41,20339.76
17.5,4,4,33,179.58
42.9,3,2,37,0
71.8,7,0,51,13279.41
80.1,7,3,23,19256.72
58.8,5,4,41,3429.77
84.3,6,3,47,20395.44
71.8,4,3,7,9245.9
50.4,4,2,14,10346.17
59.6,8,1,6,13041.06
47.6,8,2,32,17726.03
66.3,7,3,6,15829.58
98,4,4,53,13005
115.8,2,2,9,11276.2
65.2,4,1,35,5830.23
22.4,3,4,49,4418.75
71.5,6,0,33,14691.22
82.5,4,3,40,12037.45
93,6,0,26,15327.33
25,3,1,14,4693.84
85.1,5,2,45,13802.2
18.2,3,4,13,4400.09
25.6,6,2,49,12450.07
91.5,6,3,15,16516.54
90.9,3,1,54,9461.23
53,6,4,25,11618.27
20.3,3,1,29,11139.23
60,5,5,15,17150.24
89.3,7,4,8,11358.81
40.1,7,3,18,11188.19
64,4,3,35,5322.03
62.5,6,0,35,16189.1
42.3,2,0,54,11390.04
85.9,6,1,30,19488.28
54.9,8,4,34,8386.46
43.1,5,5,59,11549.95
36.1,7,3,2,107.54
34.7,7,3,13,10809.89
44.1,7,4,14,2727.69
94.4,8,1,57,25215.04
33,8,4,26,11364.08
55.9,4,1,7,7031.87
86.5,6,4,59,12375.09
55.1,7,4,14,11369.34
39.5,4,3,44,10467.88
86.6,3,2,24,10587.36
42.6,5,5,24,2013.96
69.3,5,0,19,10790.1
31.8,6,1,42,16518.49
72.5,1,0,32,7708.21
52.4,6,1,8,10595.6
15,5,2,52,0
52,3,2,45,17192.6
34.4,7,2,8,10914.82
117.3,4,3,35,11749.74
71.5,4,3,2,9807.93
106.1,1,2,35,6087.47
114.4,3,0,0,13251.82
29.8,3,1,31,3728.04
47.2,5,3,23,10304.32
36.9,2,1,22,9866.41
80.2,4,1,30,21114.87
87.8,1,3,28,18213.52
83.8,2,1,48,15242.26
75.3,2,4,18,0
42.7,3,1,45,13888.76
25.8,2,3,35,10980.61
71.7,4,5,4,4053.36
91.5,3,4,13,6612.6
73.1,6,2,22,16981.36
31.6,3,3,4,1681.07
55.7,8,3,33,12595.4
102.7,8,2,41,20201.68
39.3,7,3,59,9454.32
72,3,1,35,6638.44
53.8,4,4,44,3451.52
46.4,5,0,47,11429.76
50.5,4,1,44,11977.76
93,8,5,8,21471.86
50.1,4,1,23,15970.24
44.6,4,2,8,6499.4
54.7,6,0,4,8041.39
113.4,8,1,7,20863.84
41.6,2,1,54,3876.21
55.4,7,4,26,14443.44
29.5,2,2,5,0
104.7,3,0,44,17543.52
93.5,6,1,3,22649.39
31.5,8,4,11,9185.89
107.1,3,3,0,23279.33
88.6,3,5,3,10059
45.2,2,5,38,8214.86
72.7,7,4,13,15598.63
40,3,1,58,14837.76
80,1,2,15,5893.39
126.8,8,0,45,27039.28
78.8,4,2,12,11898.36
67.9,2,4,9,7857.02
47.1,7,2,12,11666.94
43.1,3,3,34,6465.44
76.1,5,4,40,4696.65
40.7,7,0,9,6729.61
50.3,7,4,11,14400.33
45.3,3,4,3,0
71.4,3,2,53,17762.35
53.9,5,5,16,13024.47
45.2,3,1,44,1146.04
71.3,5,3,23,1667.11
85.9,6,3,2,18346.2
101.8,2,1,32,16540.05
73.6,6,1,18,16207.38
88.1,7,2,38,15041.45
20.8,7,1,27,9759.29
23.9,3,1,7,11675.89
92.5,7,5,20,12350.13
52.3,7,2,27,6922.61
35,2,1,21,5485.72
72.3,7,1,25,18514.78
44.9,1,2,18,6518.9
81.2,7,1,53,17894.81
97.4,1,1,54,16920.31
78.2,4,1,45,8204.14
113.4,3,1,41,23219.75
117.3,3,5,58,12798.63
39.2,7,0,27,7389.73
55.5,3,3,52,14255.85
92.6,3,2,17,14344.62
39.4,6,0,55,3735.08
87.7,2,5,12,13983.95
49.1,7,0,15,10516.63
39,4,0,60,559.61
69.4,4,1,0,1500.53
103.2,3,3,14,13064.2
90.5,4,1,35,22286.84
100.2,6,3,48,13865.43
46.9,1,2,24,9393.28
122.9,7,2,1,15047.7
75.4,2,4,23,18009.84
101,7,1,50,21231.04
75.6,8,5,1,3839.08
120.4,5,4,53,21992.66
114.1,5,4,7,22622.75
34.6,2,4,53,7503.67
73.3,2,4,46,4903.3
57.4,2,2,1,3559.34
87.1,8,3,32,16727.09
90.5,6,3,55,20333.85
110.4,3,2,1,13752.22
81.1,6,1,27,23087.73
74.6,6,4,39,8236.92
25.2,7,3,13,8536.38
15.2,7,4,52,8088.59
39.9,5,3,20,4118.84
44.7,1,3,29,0
82.4,7,3,11,4775.72
65.2,6,2,6,6222.36
101.4,5,1,13,15186.96
54.3,5,4,24,14439.9
51.6,5,1,17,6045.99
68.2,5,1,41,7948.33
49.9,2,3,48,16265.16
75.7,5,1,30,13832.56
43.3,2,1,6,13045.63
109.6,1,2,33,14688.89
5.8,4,2,17,10573.26
39.7,2,1,21,1631.59
52.5,8,2,3,14101.57
30.7,4,3,52,2911.24
25,7,4,32,11767.17
114.5,8,3,21,24221.88
73.6,5,1,22,17746.18
75,2,2,10,4074.17
65.8,3,1,14,8034.67
76,5,0,6,13760.81
78.9,8,2,14,18937.62
45.9,5,0,41,15855.56
112.7,1,3,34,11564.77
96.4,1,4,23,4603.27
73.8,6,2,52,20139.45
127.9,8,1,11,24240.83
92.2,3,2,16,15237.7
90.9,3,2,53,16761.44
83.6,7,1,8,14576.95
95.1,2,5,47,13079.14
78.7,7,1,29,11433.31
94,7,3,16,4637.36
45.1,5,1,46,10211.6
116,3,4,37,10531.14
77.1,8,2,49,19419.68
34.7,4,1,54,3530.91
67.9,5,1,20,6547.89
20.2,1,1,31,5574.5
50.2,3,2,57,3843.35
36.2,5,2,42,8747.24
62.1,3,1,4,14653.41
68.9,4,4,14,15068.6
24.5,2,0,51,11718.07
55.7,3,4,37,7809.76
79.2,3,1,23,13984.94
54.5,3,5,55,9815.59
100.2,6,2,10,19763.93
49.9,3,4,1,0
31.8,6,2,35,139.57
72.1,7,5,52,12806.93
110.5,5,5,1,15974.24
58.8,2,0,51,12485.39
80.2,7,3,4,11059.93
85.3,6,5,29,15099.4
50.2,3,4,39,0
42.5,4,4,2,7601.62
98.8,2,3,42,16119.39
47.1,6,1,14,5345.01
24.8,4,4,48,7736.94
91.5,6,2,22,6914.24
54.9,3,1,40,4549.76
50,8,2,35,10526.21
80.8,2,3,5,11650.81
59.1,2,4,17,11129.36
86.6,8,0,19,17124.78
51.4,7,3,44,16159.62
16,3,5,41,3537.13
108.8,8,0,53,21866.52
76,4,2,59,14525.62
32.4,4,1,52,16209.52
37.6,2,3,25,2203.53
54.3,6,3,45,10808.73
58.3,5,2,22,5130.34
29.6,3,4,51,201.81
54.3,4,1,45,9815.43
52.1,6,0,21,14221.32
36.9,5,3,5,2424.35
117.8,6,1,39,25215.17
68.2,3,3,58,6552.7
99,4,4,47,7181.77
89.2,5,1,12,12598.9
71.2,5,1,12,6983.69
93.1,4,3,42,9931.53
44.3,2,3,19,9213.04
112.3,3,0,13,18764.23
7.7,1,4,43,278.76
50.5,6,1,35,14555.19
50.8,3,2,35,11042.99
21.4,3,2,18,3132.56
51.2,1,5,3,185.02
57.3,4,4,50,16006.46
32.2,2,5,48,0
87.3,2,4,48,9476.02
63.1,5,5,55,17155.31
69.7,2,5,15,492.54
53.5,5,4,44,14093.3
36.2,3,4,4,1006.34
36.3,5,5,21,12868.96
41.4,5,4,40,2117.7
41.7,7,2,42,9450.53
85.1,8,1,17,20612.44
49.3,5,3,0,9653.29
74.3,6,4,0,9189.65
41.7,7,3,35,8437.7
108.8,2,4,8,15029.58
42.6,6,2,4,1135.9
45.2,2,3,54,9095.33
104,4,2,22,15441.55
31.9,1,2,10,5028.75
87.3,4,3,53,5920.51
44.7,7,5,51,13113.3
68.4,7,5,58,11472.83
60.8,8,1,29,17600.75
114.8,6,3,55,23491.42
95.5,7,1,12,10377.09
67.3,4,4,38,12026.4
115.2,4,0,43,14741.42
31.7,4,2,25,2382.65
125.1,4,1,28,23834.65
36.9,3,1,15,254.27
93,6,3,11,15813.38
46.1,6,2,42,7711.52
75,5,0,38,4853.04
108.6,8,3,48,24519.07
115.7,7,0,43,21573.18
87.6,2,1,20,6429.81
96.3,6,1,3,17566.01
66.1,3,0,24,12101.17
99.1,3,1,31,9934.51
27.7,2,3,44,9745.36
92.9,2,3,29,18375.09
78.9,7,1,11,19140.84
55.9,3,0,4,4574.61
25.9,4,3,7,4037.08
67.6,3,3,42,4764.25
44.7,4,2,10,9812.2
44.2,2,3,47,2827.13
50,4,2,30,7442.95
88.2,2,2,19,10611.38
126.2,5,1,1,8702.91
82.7,1,5,25,9240.15
52.5,4,0,18,14463.46
66.6,4,2,36,2666.4
72.6,3,3,23,2918.03
87.8,6,1,18,15827.77
90.7,3,2,26,10466.62
56.4,8,2,12,4938.57
118.3,6,0,49,21417.37
95.6,6,4,25,13797.76
42,3,5,60,2585.17
57.8,6,2,7,1378.06
34.1,7,1,6,186.07
68.4,5,3,41,10233.37
57.1,6,5,25,7067.87
48.6,4,2,47,9394.85
44.7,5,1,28,16432.47
48.8,7,5,18,2277.05
101.9,5,1,50,22222.35
102.5,6,0,16,10739.91
110.9,3,2,11,13083.31
32.4,5,3,19,1408.35
20.3,4,5,20,0
20.9,5,4,27,4845.93
17.4,2,3,19,0
45.5,1,4,39,2850.37
42.8,7,3,25,3987.57
24.4,8,2,19,7303.77
32.3,3,0,36,0
41.4,5,1,56,11376.82
28.6,3,4,27,5457.85
37.4,8,1,19,0
18.4,5,3,38,5553.01
80.4,3,4,47,6821.62
33.3,8,4,38,5081.14
113.1,2,1,24,25744.42
85.8,6,2,53,19533.24
62.3,3,1,22,13651.82
96,7,2,23,18367.52
44.1,3,1,36,16576.27
74.4,7,4,20,11525.38
49.8,5,4,30,11708.81
85.9,7,1,1,8349.08
107.3,3,4,52,12625.98
57.4,4,2,28,11448.87
101.5,7,5,21,9660.43
49.9,5,3,35,14860.1
107.8,5,2,40,14513.34
92.7,2,2,44,14648.98
37.7,3,0,57,14035.76
66.5,5,2,37,17274.61
55.6,3,1,49,11713.5
100.9,6,4,5,18923.37
95.7,5,3,6,16203.51
22,5,2,41,11564.25
73.3,5,1,24,11217.21
111.7,6,2,26,28230.97
39.3,5,1,52,915.62
74.9,8,2,43,15710.91
82.3,2,4,41,12522.88
72.3,6,1,13,8708.99
49.7,6,3,15,7335.16
29.5,2,4,35,1332.2
57.4,3,1,44,13486.26
53.7,7,1,17,19565.55
97.5,7,4,46,6939.13
65.4,4,2,27,13397.76
60.8,2,5,22,5313.77
84,6,3,44,12531.68
87.8,4,1,21,10123.7
89.2,5,2,41,11352.59
123.4,3,1,43,17544.69
46.4,4,2,40,12180.16
105.7,2,1,36,9490.45
31.6,7,4,31,8242.33
109.2,4,2,49,8011.74
100.8,2,4,48,22066.9
99,6,1,3,8813.23
78.8,3,3,37,10200.41
65.5,4,1,45,22856.87
107.1,5,2,20,18936.67
108.9,2,5,31,8845
50.9,6,1,1,3954.86
77.4,6,2,7,9676.43
93.6,2,1,20,10772.39
24.6,1,0,58,10204.98
83.5,4,3,11,17340.87
42.9,3,2,24,770.34
124.1,7,3,22,16294.95
70.8,4,5,50,16246.53
70.4,3,5,50,10504.65
101,8,2,19,17291.03
71.6,3,1,44,13562.02
74.2,4,2,58,13828.44
29.4,3,0,2,12282.69
50.6,4,4,51,16272.69
37.1,3,1,5,2807.24
23,6,1,24,4720.83
64.2,6,5,34,13226.39
54.4,5,4,37,15562.56
20,6,2,52,11726.53
8.4,4,1,14,10650.3
39.1,8,5,11,11863.17
47.2,2,3,0,5391.53
115.9,4,4,7,22614.69
20.5,5,3,27,5962.79
56.4,6,5,7,0
57.3,4,1,46,860.5
90.8,8,2,51,11814.26
85.2,7,4,29,14914.29
78.6,2,1,37,4356.11
92.6,7,4,48,9454.69
103.5,3,1,51,20068.19
79.5,3,3,29,1240.08
91.9,4,4,2,15272.68
112.5,7,0,20,22039.96
10.7,1,4,51,0
46.2,3,2,41,0
113,3,0,20,23903.52
54.7,7,0,16,14547.33
28.5,4,4,37,7135.97
103.3,3,5,46,9892.03
101.4,5,2,59,20546.52
18.4,3,2,58,2080.92
26.1,3,2,58,7306.01
31.7,1,2,2,0
44.8,8,2,35,19470.32
105.8,7,0,9,17095.48
67.8,3,0,5,17223.64
96.1,3,3,57,21509.33
62.2,2,0,25,20777.86
82.7,8,1,12,10016.99
97.2,5,1,22,25819.64
42.7,7,4,28,6369.69
124.2,6,2,2,17932.39
65.2,3,4,32,1404.11
17.6,8,3,13,13091.27
93.2,5,4,8,12934.25
33.7,6,2,15,6717.11
90.3,6,0,41,11411.28
67,7,1,48,15246.08
106.8,7,2,53,20497.85
93.3,2,2,13,5689.88
101,2,0,49,22335.12
28.8,8,4,29,5760.18
39.8,8,2,18,11519.16
36.9,6,1,6,18721.26
78.3,1,3,8,14521.32
97.5,8,5,54,17226.78
55,8,3,50,15055.14
44.8,7,0,32,10369.1
54.6,6,3,38,13415.6
62.8,4,4,30,3863.7
90.2,7,2,20,24895.27
51.4,7,5,22,12696.12
94.3,1,5,39,10315.77
51.5,8,4,23,8911.85
68,7,1,22,17505.59
47.6,3,2,40,9438.17
98.6,8,4,11,8503.68
39.6,7,0,6,15075.31
58.4,1,4,43,4702.48
78.9,1,2,22,7426.98
54.6,7,0,20,16087.54
91.1,4,0,2,10286.96
70.1,7,1,26,19542.38
48.3,5,1,24,14021
47.1,3,4,41,93.96
55.1,6,4,11,6645.43
24.1,3,2,50,0
58,1,1,27,5907.06
92.6,2,1,9,14450.09
53.3,5,4,43,7044.56
21.3,2,4,43,11745.75
102,8,2,13,12953.39
41.9,7,1,28,13777.81
45.6,8,1,13,6529.6
124.4,3,3,34,22145.1
40.6,2,2,44,12452.78
76.1,8,4,5,9872.6
119.5,7,4,35,13268.9
72.7,2,1,46,19103.88
43.3,7,3,1,11202.29
60.3,5,1,28,3831.26
44.3,6,1,16,13931.17
68.3,6,1,54,15240.44
91.7,4,1,46,15884.51
88.5,2,2,22,20538.5
102.3,1,2,9,16249.39
115.7,5,4,42,17053.29
29.5,6,4,25,10286.07
109.9,4,4,23,20518.94
74.6,2,0,47,20658.27
53.5,4,3,38,13569.89
31.6,7,2,51,11045.33
80.8,2,3,9,12590.11
103,2,1,37,16329.57
94,4,1,23,6846.96
99,8,0,57,25794.28
119.3,6,2,57,18650
112.1,1,3,18,13517.77
38,7,1,51,3789.3
34.9,5,5,15,8674.66
69.8,3,4,21,21201.26
123.5,5,3,7,18821.83
91.7,7,1,57,19126.3
79.8,8,3,13,6660.33
28.8,7,4,57,12822.78
48.8,6,5,36,7302.63
35.5,3,2,47,4193.47
99.5,2,2,42,18182.09
87.9,5,1,38,11059.61
76.4,4,3,2,17809.53
44.7,7,3,4,17939.33
92.4,2,1,45,6844.59
42.9,4,0,32,12083.97
33,7,2,9,12163.29
57.1,3,3,43,0
99.6,7,2,53,20257.3
58.8,1,4,30,14293.31
54,8,4,12,13980.22
105.8,6,0,27,17666.66
35.3,4,3,7,9674.23
46.5,7,3,55,13652.78
52.6,8,2,6,9855.04
23.6,5,4,19,5360.7
33.5,6,4,60,2724.79
64.2,4,2,21,12263.81
40.6,4,2,39,17978.24
97.3,8,4,4,13485.21
110.2,8,0,3,16289.47
26.7,4,0,13,7197.4
48,7,3,1,9053.87
71.1,6,4,55,8808.59
53.1,7,4,36,16615.75
53.8,5,2,12,8554.06
12.5,7,2,49,8985.13
29.2,4,4,15,3583.06
41.7,3,1,9,8951.54
33.5,2,4,18,3748.16
63.6,8,3,36,15019.53
119.2,4,2,50,13461.83
47.1,5,5,27,14188.74
30.6,4,1,7,9777.27
108.2,4,4,18,5579.45
74.4,4,2,28,8556.39
74.9,1,2,11,7715.47
29.5,3,4,35,8371.31
39.3,7,1,12,10250.99
68.8,4,4,45,18347.36
83.4,7,4,38,15021.23
30.1,2,4,32,0
105.3,4,3,36,13664.96
37.3,8,2,5,10917.2
44.8,7,5,49,12211.22
53.1,5,3,22,10994.34
61.9,6,4,4,3741.63
79.5,1,1,5,17867.94
95.4,3,3,53,6573.38
88.3,5,4,7,15312.84
48.4,6,5,50,3086.81
46.2,4,4,20,5184.86
56.9,7,1,34,10451.88
101.2,3,1,13,14365.71
